GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Percent,Margin of Error
0400000US04,04,Arizona,9600000US0408520,0408520,"Arizona - SCHOOL DISTRICT, SECONDARY - Tolleson Union High School District",Tolleson Union High School District,86.0,2.4
0400000US04,04,Arizona,9600000US0409630,0409630,"Arizona - SCHOOL DISTRICT, SECONDARY - Yuma Union High School District",Yuma Union High School District,82.2,2.4
0400000US04,04,Arizona,9700000US0400295,0400295,"Arizona - SCHOOL DISTRICT, UNIFIED - Kingman Unified School District",Kingman Unified School District,83.3,4.8
0400000US04,04,Arizona,9700000US0400680,0400680,"Arizona - SCHOOL DISTRICT, UNIFIED - Amphitheater Unified District",Amphitheater Unified District,86.1,2.0
0400000US04,04,Arizona,9700000US0400790,0400790,"Arizona - SCHOOL DISTRICT, UNIFIED - Apache Junction Unified District",Apache Junction Unified District,81.6,4.3
0400000US04,04,Arizona,9700000US0401870,0401870,"Arizona - SCHOOL DISTRICT, UNIFIED - Chandler Unified District",Chandler Unified District,92.2,1.4
0400000US04,04,Arizona,9700000US0402690,0402690,"Arizona - SCHOOL DISTRICT, UNIFIED - Dysart Unified District",Dysart Unified District,89.0,1.9
0400000US04,04,Arizona,9700000US0402860,0402860,"Arizona - SCHOOL DISTRICT, UNIFIED - Flagstaff Unified District",Flagstaff Unified District,84.0,3.4
0400000US04,04,Arizona,9700000US0402920,0402920,"Arizona - SCHOOL DISTRICT, UNIFIED - Florence Unified School District",Florence Unified School District,88.3,3.6
0400000US04,04,Arizona,9700000US0403400,0403400,"Arizona - SCHOOL DISTRICT, UNIFIED - Gilbert Unified District",Gilbert Unified District,95.4,1.1
0400000US04,04,Arizona,9700000US0403780,0403780,"Arizona - SCHOOL DISTRICT, UNIFIED - Higley Unified District",Higley Unified District,97.5,1.7
0400000US04,04,Arizona,9700000US0404630,0404630,"Arizona - SCHOOL DISTRICT, UNIFIED - Marana Unified District",Marana Unified District,94.5,1.8
0400000US04,04,Arizona,9700000US0404970,0404970,"Arizona - SCHOOL DISTRICT, UNIFIED - Mesa Unified District",Mesa Unified District,87.7,1.3
0400000US04,04,Arizona,9700000US0405930,0405930,"Arizona - SCHOOL DISTRICT, UNIFIED - Paradise Valley Unified District",Paradise Valley Unified District,91.2,1.4
0400000US04,04,Arizona,9700000US0406250,0406250,"Arizona - SCHOOL DISTRICT, UNIFIED - Peoria Unified School District",Peoria Unified School District,89.9,1.8
0400000US04,04,Arizona,9700000US0407570,0407570,"Arizona - SCHOOL DISTRICT, UNIFIED - Scottsdale Unified District",Scottsdale Unified District,92.8,1.2
0400000US04,04,Arizona,9700000US0407750,0407750,"Arizona - SCHOOL DISTRICT, UNIFIED - Deer Valley Unified District",Deer Valley Unified District,94.7,1.4
